epoch,train_loss,val_loss,rouge1,rouge2
1,5.095896332742408,2.4404071839765096,0.059962432437543525,0.00885206146971389
2,2.359708137902047,2.259012882335064,0.06694744399330906,0.010732594970921005
3,2.2783792568894166,2.2280957950040317,0.06933528340085783,0.011611200100930238
4,2.2461909138837446,2.211264392313285,0.07218113414964626,0.012450822140799692
5,2.2245976010014807,2.2016821928704395,0.07328299594921064,0.012768385692106848
6,2.2104459090051782,2.194498197677044,0.07426150011005839,0.013296171294103199
7,2.199342316573613,2.190134647947091,0.07566029410856126,0.013674917113754136
8,2.189147945265411,2.185848982574848,0.07558115331083234,0.014123065216964192
9,2.1820595746121083,2.1834297383633943,0.0762502156381803,0.014150265822035425
10,2.173957059801658,2.181141716834062,0.07693762840917243,0.014277375117011017
